Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer_ID,Region
T006731,23.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,5,380000,1900000,Customer-001,Yangon
T007045,24.01.2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon
T007349,25.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,380000,760000,Customer-001,Yangon
T007673,26.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon
T008010,27.01.2025,PROD-010,Webcam 1080p HD,Electronics,3,180000,540000,Customer-001,Yangon
T008011,27.01.2025,PROD-003,27-inch 4K Monitor,Electronics,5,1200000,6000000,Customer-001,Yangon
T008297,28.01.2025,PROD-010,Webcam 1080p HD,Electronics,2,180000,360000,Customer-001,Yangon
T008298,28.01.2025,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000,Customer-001,Yangon
T008599,29.01.2025,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000,Customer-001,Yangon
T008600,29.01.2025,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000,Customer-001,Yangon
T008873,30.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon
T008874,30.01.2025,PROD-003,27-inch 4K Monitor,Electronics,2,1200000,2400000,Customer-001,Yangon
T008875,30.01.2025,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon
T009195,31.01.2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon
T009493,01.02.2025,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon
T009494,01.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T009817,02.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon
T009818,02.02.2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon
T009819,02.02.2025,PROD-004,Standing Desk Converter,Furniture,3,500000,1500000,Customer-001,Yangon
T011062,06.02.2025,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon
T011063,06.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000,Customer-001,Yangon
T011364,07.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon
T011658,08.02.2025,PROD-007,USB-C Docking Station,Electronics,10,340000,3400000,Customer-001,Yangon
T011659,08.02.2025,PROD-007,USB-C Docking Station,Electronics,9,340000,3060000,Customer-001,Yangon
T012272,10.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon
T012563,11.02.2025,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon
T012878,12.02.2025,PROD-007,USB-C Docking Station,Electronics,8,340000,2720000,Customer-001,Yangon
T012879,12.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon
T012880,12.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T012881,12.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon
T013172,13.02.2025,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon
T013173,13.02.2025,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon
T013477,14.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T013478,14.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000,Customer-001,Yangon
T013479,14.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,7,750000,5250000,Customer-001,Yangon
T013480,14.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon
T013481,14.02.2025,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon
T013789,15.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon
T014069,16.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon
T014381,17.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon
T014653,18.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,6,25500,153000,Customer-001,Yangon
T014968,19.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon
T014969,19.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon
T015278,20.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon
T015279,20.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon
T015280,20.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon
T015410,21.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon
T015552,22.02.2025,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon
T015553,22.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon
T015715,23.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon
T015845,24.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon
T015846,24.02.2025,PROD-003,27-inch 4K Monitor,Electronics,10,1200000,12000000,Customer-001,Yangon
T015847,24.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon
T015987,25.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,900000,2700000,Customer-001,Yangon
T015988,25.02.2025,PROD-010,Webcam 1080p HD,Electronics,4,180000,720000,Customer-001,Yangon
T015989,25.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon
T016125,26.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon
T016126,26.02.2025,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon
T016127,26.02.2025,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon
T016272,27.02.2025,PROD-007,USB-C Docking Station,Electronics,5,340000,1700000,Customer-001,Yangon
T016432,28.02.2025,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon
T016433,28.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon
T016434,28.02.2025,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon
T016590,01.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon
T016591,01.03.2025,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon
T016592,01.03.2025,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon
T016593,01.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,1,380000,380000,Customer-001,Yangon
T016594,01.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,5,195000,975000,Customer-001,Yangon
T016595,01.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,900000,9000000,Customer-001,Yangon
T016738,02.03.2025,PROD-007,USB-C Docking Station,Electronics,1,340000,340000,Customer-001,Yangon
T016739,02.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon
T016884,03.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon
T016885,03.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon
T017038,04.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T017039,04.03.2025,PROD-003,27-inch 4K Monitor,Electronics,10,1200000,12000000,Customer-001,Yangon
T017040,04.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon
T017193,05.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon
T017350,06.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon
T017501,07.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon
T017502,07.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,4,900000,3600000,Customer-001,Yangon
T017503,07.03.2025,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon
T017814,09.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,900000,9000000,Customer-001,Yangon
T017951,10.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000,Customer-001,Yangon
T018085,11.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon
T018086,11.03.2025,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon
T018240,12.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T018241,12.03.2025,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000,Customer-001,Yangon
T018242,12.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,195000,390000,Customer-001,Yangon
T018398,13.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T018399,13.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T018550,14.03.2025,PROD-007,USB-C Docking Station,Electronics,9,340000,3060000,Customer-001,Yangon
T018864,16.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,900000,1800000,Customer-001,Yangon
T018865,16.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon
T019015,17.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000,Customer-001,Yangon
T019157,18.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon
T019158,18.03.2025,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon
T019159,18.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon
T019160,18.03.2025,PROD-007,USB-C Docking Station,Electronics,4,340000,1360000,Customer-001,Yangon
T019161,18.03.2025,PROD-010,Webcam 1080p HD,Electronics,9,180000,1620000,Customer-001,Yangon
T019292,19.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon
T019293,19.03.2025,PROD-003,27-inch 4K Monitor,Electronics,8,1200000,9600000,Customer-001,Yangon
T019294,19.03.2025,PROD-007,USB-C Docking Station,Electronics,3,340000,1020000,Customer-001,Yangon
T019436,20.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon
T019437,20.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon
T019570,21.03.2025,PROD-003,27-inch 4K Monitor,Electronics,6,1200000,7200000,Customer-001,Yangon
T019571,21.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T019572,21.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,25500,178500,Customer-001,Yangon
T019703,22.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon
T019857,23.03.2025,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon
T019858,23.03.2025,PROD-007,USB-C Docking Station,Electronics,8,340000,2720000,Customer-001,Yangon
T019859,23.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,5,380000,1900000,Customer-001,Yangon
T020017,24.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon
T020018,24.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon
T020164,25.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000,Customer-001,Yangon
T020165,25.03.2025,PROD-004,Standing Desk Converter,Furniture,6,500000,3000000,Customer-001,Yangon
T020308,26.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,750000,3750000,Customer-001,Yangon
T020309,26.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,5,195000,975000,Customer-001,Yangon
T020457,27.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,25500,127500,Customer-001,Yangon
T020618,28.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,70000,490000,Customer-001,Yangon
T020619,28.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T020774,29.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,4,380000,1520000,Customer-001,Yangon
T020948,30.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,25500,51000,Customer-001,Yangon
T020949,30.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,3,70000,210000,Customer-001,Yangon
T021081,31.03.2025,PROD-007,USB-C Docking Station,Electronics,4,340000,1360000,Customer-001,Yangon
T021082,31.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,8,25500,204000,Customer-001,Yangon
T021083,31.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T021235,01.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T021236,01.04.2025,PROD-003,27-inch 4K Monitor,Electronics,2,1200000,2400000,Customer-001,Yangon
T021237,01.04.2025,PROD-010,Webcam 1080p HD,Electronics,4,180000,720000,Customer-001,Yangon
T021378,02.04.2025,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon
T021537,03.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,70000,280000,Customer-001,Yangon
T021538,03.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T021539,03.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon
T021683,04.04.2025,PROD-007,USB-C Docking Station,Electronics,10,340000,3400000,Customer-001,Yangon
T021684,04.04.2025,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon
T021685,04.04.2025,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon
T021848,05.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon
T022005,06.04.2025,PROD-003,27-inch 4K Monitor,Electronics,7,1200000,8400000,Customer-001,Yangon
T022006,06.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T022128,07.04.2025,PROD-007,USB-C Docking Station,Electronics,5,340000,1700000,Customer-001,Yangon
T022129,07.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,25500,255000,Customer-001,Yangon
T022266,08.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,9,750000,6750000,Customer-001,Yangon
T022267,08.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon
T022416,09.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T022557,10.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T022809,12.04.2025,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon
T022810,12.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,1,900000,900000,Customer-001,Yangon
T022922,13.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon
T022923,13.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,900000,5400000,Customer-001,Yangon
T023029,14.04.2025,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon
T023030,14.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon
T023031,14.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon
T023032,14.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T023239,16.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon
T023240,16.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,25500,102000,Customer-001,Yangon
T023466,18.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,25500,255000,Customer-001,Yangon
T023467,18.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,5,70000,350000,Customer-001,Yangon
T023547,19.04.2025,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon
T023938,23.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon
T024119,25.04.2025,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon
T024120,25.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon
T024226,26.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,25500,102000,Customer-001,Yangon
T024227,26.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T024321,27.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,900000,2700000,Customer-001,Yangon
T024423,28.04.2025,PROD-003,27-inch 4K Monitor,Electronics,3,1200000,3600000,Customer-001,Yangon
T024424,28.04.2025,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon
T024526,29.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon
T024527,29.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,380000,760000,Customer-001,Yangon
T024528,29.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,25500,51000,Customer-001,Yangon
T024621,30.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,195000,195000,Customer-001,Yangon
T024622,30.04.2025,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon
T024708,01.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,195000,1170000,Customer-001,Yangon
T024709,01.05.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,70000,140000,Customer-001,Yangon
T024808,02.05.2025,PROD-007,USB-C Docking Station,Electronics,8,340000,2720000,Customer-001,Yangon
T024912,03.05.2025,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon
T024913,03.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,4,900000,3600000,Customer-001,Yangon
T025013,04.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon
T025107,05.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon
T025108,05.05.2025,PROD-004,Standing Desk Converter,Furniture,10,500000,5000000,Customer-001,Yangon
T025109,05.05.2025,PROD-010,Webcam 1080p HD,Electronics,4,180000,720000,Customer-001,Yangon
T025203,06.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,195000,1560000,Customer-001,Yangon
T025204,06.05.2025,PROD-004,Standing Desk Converter,Furniture,8,500000,4000000,Customer-001,Yangon
T025305,07.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,380000,2660000,Customer-001,Yangon
T025411,08.05.2025,PROD-003,27-inch 4K Monitor,Electronics,1,1200000,1200000,Customer-001,Yangon
T025509,09.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,900000,8100000,Customer-001,Yangon
T025593,10.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon
T025594,10.05.2025,PROD-003,27-inch 4K Monitor,Electronics,6,1200000,7200000,Customer-001,Yangon
T025688,11.05.2025,PROD-007,USB-C Docking Station,Electronics,4,340000,1360000,Customer-001,Yangon
T025689,11.05.2025,PROD-004,Standing Desk Converter,Furniture,4,500000,2000000,Customer-001,Yangon
T025790,12.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000,Customer-001,Yangon
T025883,13.05.2025,PROD-003,27-inch 4K Monitor,Electronics,8,1200000,9600000,Customer-001,Yangon
T025984,14.05.2025,PROD-007,USB-C Docking Station,Electronics,6,340000,2040000,Customer-001,Yangon
T025985,14.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon
T025986,14.05.2025,PROD-010,Webcam 1080p HD,Electronics,6,180000,1080000,Customer-001,Yangon
T025987,14.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000,Customer-001,Yangon
T026208,16.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500,Customer-001,Yangon
T026295,17.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,25500,127500,Customer-001,Yangon
T026296,17.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000,Customer-001,Yangon
T026492,19.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,7,900000,6300000,Customer-001,Yangon
T026493,19.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,750000,7500000,Customer-001,Yangon
T026581,20.05.2025,PROD-010,Webcam 1080p HD,Electronics,6,180000,1080000,Customer-001,Yangon
T026673,21.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,6,25500,153000,Customer-001,Yangon
T026674,21.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon
T026675,21.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon
T026769,22.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon
T026770,22.05.2025,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon
T026882,23.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon
T026883,23.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,750000,750000,Customer-001,Yangon
T026996,24.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,900000,9000000,Customer-001,Yangon
T026997,24.05.2025,PROD-007,USB-C Docking Station,Electronics,7,340000,2380000,Customer-001,Yangon
T026998,24.05.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon
T026999,24.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,4,750000,3000000,Customer-001,Yangon
T027092,25.05.2025,PROD-004,Standing Desk Converter,Furniture,5,500000,2500000,Customer-001,Yangon
T027093,25.05.2025,PROD-010,Webcam 1080p HD,Electronics,5,180000,900000,Customer-001,Yangon
T027181,26.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,1,380000,380000,Customer-001,Yangon
T027274,27.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,4,380000,1520000,Customer-001,Yangon
T027381,28.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,380000,3040000,Customer-001,Yangon
